NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Santa Rosa County, Florida",80557.0,7169.0,67534,61590,77260.0,82861.0,4082.0,184345,78779.0,840.0,301.0,2142.0,2551.0,3405.0,2473.0,41.0,51.0,12,113,2021
"Sarasota County, Florida",175610.0,20012.0,193923,171885,69490.0,185864.0,6651.0,429336,179213.0,1502.0,1004.0,3244.0,4145.0,7807.0,6213.0,158.0,78.0,12,115,2021
"Seminole County, Florida",238440.0,29940.0,180891,167161,73002.0,253534.0,11343.0,467382,242191.0,4152.0,2671.0,6172.0,8606.0,14312.0,10951.0,330.0,229.0,12,117,2021
"Sumter County, Florida",26098.0,2861.0,61441,53678,63323.0,28456.0,1574.0,127335,26882.0,173.0,82.0,347.0,940.0,461.0,705.0,7.0,21.0,12,119,2021
"Suwannee County, Florida",16335.0,698.0,15098,12216,47218.0,17617.0,933.0,43514,16684.0,34.0,89.0,161.0,331.0,184.0,178.0,0.0,0.0,12,121,2021
"Taylor County, Florida",6555.0,371.0,7270,5576,43563.0,7141.0,443.0,21762,6698.0,20.0,22.0,3.0,221.0,71.0,176.0,0.0,0.0,12,123,2021
"Union County, Florida",4156.0,279.0,4064,3296,55463.0,4313.0,145.0,16141,4168.0,0.0,21.0,23.0,138.0,143.0,88.0,0.0,0.0,12,125,2021
"Volusia County, Florida",236073.0,23117.0,228569,195109,56786.0,249694.0,10483.0,548783,239211.0,2111.0,1789.0,4025.0,7839.0,7017.0,6462.0,95.0,264.0,12,127,2021
"Wakulla County, Florida",14520.0,1027.0,11266,9924,72941.0,15385.0,503.0,33144,14882.0,67.0,0.0,136.0,390.0,411.0,261.0,0.0,0.0,12,129,2021
"Walton County, Florida",32309.0,4114.0,30182,26802,68111.0,34550.0,1595.0,73456,32955.0,125.0,165.0,460.0,674.0,1475.0,970.0,0.0,12.0,12,131,2021
"Washington County, Florida",8560.0,297.0,8853,7286,41806.0,9190.0,519.0,24906,8671.0,85.0,66.0,10.0,299.0,170.0,187.0,0.0,0.0,12,133,2021
"Appling County, Georgia",7300.0,73.0,6637,4274,39588.0,7665.0,221.0,18509,7444.0,128.0,36.0,0.0,137.0,64.0,29.0,0.0,11.0,13,001,2021
"Atkinson County, Georgia",3407.0,44.0,2968,2006,35741.0,3686.0,227.0,8269,3459.0,11.0,5.0,43.0,109.0,26.0,13.0,0.0,0.0,13,003,2021
"Bacon County, Georgia",4198.0,139.0,3874,2889,40391.0,4405.0,151.0,11163,4254.0,12.0,64.0,32.0,10.0,39.0,18.0,4.0,0.0,13,005,2021
"Baker County, Georgia",859.0,33.0,1201,661,33417.0,1006.0,122.0,2928,884.0,4.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,13,007,2021
"Baldwin County, Georgia",16870.0,589.0,15948,12980,50413.0,18877.0,1426.0,43876,17451.0,101.0,40.0,111.0,702.0,313.0,107.0,0.0,0.0,13,009,2021
"Banks County, Georgia",7825.0,593.0,6483,5217,57893.0,8195.0,278.0,18061,7917.0,58.0,57.0,44.0,62.0,212.0,142.0,2.0,0.0,13,011,2021
"Barrow County, Georgia",39368.0,2243.0,28087,25383,68365.0,41853.0,1664.0,82138,40189.0,412.0,166.0,489.0,703.0,1230.0,1037.0,8.0,27.0,13,013,2021
"Bartow County, Georgia",49267.0,3946.0,38029,30295,65559.0,53516.0,2993.0,107868,50523.0,391.0,223.0,558.0,871.0,1396.0,1256.0,20.0,88.0,13,015,2021
"Ben Hill County, Georgia",7253.0,127.0,6828,4147,34455.0,7575.0,317.0,17237,7258.0,73.0,45.0,109.0,95.0,89.0,47.0,0.0,0.0,13,017,2021
"Berrien County, Georgia",7064.0,266.0,6634,4720,44907.0,7629.0,476.0,18195,7153.0,89.0,1.0,21.0,133.0,136.0,44.0,0.0,0.0,13,019,2021
"Bibb County, Georgia",63621.0,3211.0,58752,48189,43862.0,70109.0,5427.0,156711,64682.0,704.0,250.0,889.0,2695.0,1724.0,1477.0,11.0,0.0,13,021,2021
"Bleckley County, Georgia",4524.0,115.0,4232,2976,48786.0,4942.0,381.0,12562,4561.0,0.0,27.0,32.0,148.0,13.0,85.0,0.0,0.0,13,023,2021
