NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Ellis County, Oklahoma",1746.0,103.0,1625,995,50594.0,1900.0,106.0,4102,1794.0,3.0,7.0,19.0,47.0,17.0,43.0,0.0,0.0,40,045,2017
"Grady County, Oklahoma",24183.0,808.0,19743,12743,55527.0,25438.0,966.0,54351,24472.0,118.0,177.0,253.0,509.0,440.0,599.0,10.0,0.0,40,051,2017
"Payne County, Oklahoma",35407.0,1139.0,30404,23820,39149.0,38077.0,1700.0,80634,36377.0,295.0,323.0,208.0,690.0,815.0,545.0,9.0,7.0,40,119,2017
"Pottawatomie County, Oklahoma",29151.0,884.0,25925,17178,46159.0,31688.0,2118.0,71614,29570.0,254.0,174.0,187.0,586.0,546.0,592.0,0.0,5.0,40,125,2017
"Creek County, Oklahoma",29970.0,1480.0,26398,19030,47147.0,31545.0,1318.0,70899,30227.0,255.0,218.0,306.0,830.0,554.0,634.0,4.0,8.0,40,037,2017
"Tillman County, Oklahoma",3030.0,169.0,3012,1964,40728.0,3310.0,181.0,7591,3129.0,30.0,0.0,48.0,79.0,22.0,52.0,0.0,0.0,40,141,2017
"Washita County, Oklahoma",4833.0,262.0,4484,2995,51909.0,5170.0,237.0,11550,4933.0,35.0,18.0,35.0,132.0,59.0,38.0,0.0,0.0,40,149,2017
"Cotton County, Oklahoma",2397.0,95.0,2265,1498,49962.0,2668.0,233.0,6000,2435.0,14.0,29.0,15.0,46.0,35.0,65.0,0.0,0.0,40,033,2017
"Kiowa County, Oklahoma",3858.0,192.0,3839,2591,38191.0,4167.0,256.0,9127,3911.0,26.0,8.0,16.0,73.0,46.0,39.0,8.0,0.0,40,075,2017
"Le Flore County, Oklahoma",18460.0,417.0,18354,11339,39253.0,20066.0,1377.0,49860,18689.0,112.0,154.0,90.0,491.0,229.0,251.0,2.0,5.0,40,079,2017
"McCurtain County, Oklahoma",12148.0,124.0,12980,6970,34250.0,13173.0,750.0,33026,12423.0,140.0,48.0,69.0,185.0,94.0,136.0,4.0,4.0,40,089,2017
"Major County, Oklahoma",3302.0,108.0,3030,1992,52056.0,3506.0,163.0,7730,3343.0,7.0,16.0,46.0,96.0,27.0,44.0,4.0,0.0,40,093,2017
"Mayes County, Oklahoma",16893.0,781.0,15730,10818,45302.0,18104.0,967.0,40929,17137.0,174.0,79.0,91.0,339.0,134.0,206.0,0.0,0.0,40,097,2017
"Oklahoma County, Oklahoma",362406.0,13519.0,296818,227943,50762.0,384133.0,20135.0,774203,363998.0,4014.0,2482.0,6891.0,10112.0,11545.0,10945.0,219.0,410.0,40,109,2017
"Custer County, Oklahoma",13674.0,594.0,10458,7770,48520.0,14328.0,509.0,29169,13819.0,42.0,16.0,128.0,304.0,278.0,282.0,0.0,0.0,40,039,2017
"Beaver County, Oklahoma",2471.0,161.0,2103,1482,52571.0,2594.0,102.0,5445,2492.0,3.0,0.0,14.0,61.0,23.0,49.0,0.0,0.0,40,007,2017
"Love County, Oklahoma",3939.0,230.0,3104,1905,49409.0,4142.0,160.0,9843,3982.0,16.0,10.0,17.0,46.0,27.0,57.0,0.0,3.0,40,085,2017
"Beckham County, Oklahoma",9235.0,218.0,7573,5472,49625.0,9745.0,449.0,22971,9296.0,58.0,65.0,85.0,144.0,194.0,100.0,3.0,0.0,40,009,2017
"Hughes County, Oklahoma",4207.0,436.0,4258,2179,38425.0,4713.0,403.0,13519,4310.0,16.0,42.0,5.0,92.0,73.0,50.0,0.0,0.0,40,063,2017
"Choctaw County, Oklahoma",4997.0,134.0,5962,3158,30298.0,5540.0,479.0,14979,5061.0,16.0,24.0,43.0,159.0,62.0,60.0,0.0,0.0,40,023,2017
"Jackson County, Oklahoma",11361.0,238.0,9958,7371,45189.0,11250.0,582.0,25574,10668.0,47.0,52.0,84.0,221.0,70.0,109.0,0.0,0.0,40,065,2017
"Comanche County, Oklahoma",56360.0,5735.0,42957,32818,49569.0,54156.0,4741.0,123066,49415.0,559.0,338.0,427.0,1282.0,1401.0,849.0,8.0,4.0,40,031,2017
"Lincoln County, Oklahoma",14176.0,524.0,12923,7677,47539.0,15323.0,907.0,34759,14416.0,133.0,90.0,168.0,494.0,218.0,211.0,0.0,5.0,40,081,2017
"Pawnee County, Oklahoma",6454.0,264.0,6211,3694,46460.0,6967.0,361.0,16448,6606.0,39.0,49.0,31.0,136.0,136.0,153.0,0.0,2.0,40,117,2017
"Adair County, Oklahoma",8045.0,261.0,7796,3825,33366.0,8601.0,471.0,22136,8130.0,4.0,38.0,79.0,111.0,49.0,58.0,0.0,0.0,40,001,2017
"Seminole County, Oklahoma",9178.0,406.0,9240,5466,37741.0,10117.0,807.0,25246,9310.0,21.0,18.0,81.0,157.0,102.0,94.0,0.0,0.0,40,133,2017
"Stephens County, Oklahoma",18175.0,588.0,17252,11599,44805.0,19788.0,1340.0,44293,18448.0,47.0,85.0,235.0,397.0,198.0,336.0,0.0,0.0,40,137,2017
"Cimarron County, Oklahoma",1013.0,42.0,990,621,44667.0,1051.0,24.0,2221,1027.0,4.0,2.0,4.0,33.0,0.0,0.0,0.0,0.0,40,025,2017
"Blaine County, Oklahoma",3393.0,198.0,3819,2274,46362.0,3599.0,129.0,9680,3470.0,25.0,31.0,26.0,71.0,20.0,111.0,0.0,0.0,40,011,2017
"Carter County, Oklahoma",20142.0,598.0,18278,11103,47754.0,21955.0,1412.0,48407,20543.0,97.0,77.0,222.0,350.0,459.0,422.0,0.0,30.0,40,019,2017
"Coal County, Oklahoma",2181.0,77.0,2240,1349,39931.0,2436.0,193.0,5666,2243.0,0.0,26.0,22.0,63.0,28.0,18.0,0.0,0.0,40,029,2017
"Grant County, Oklahoma",1987.0,50.0,1883,1301,54460.0,2130.0,75.0,4458,2055.0,24.0,0.0,13.0,72.0,16.0,28.0,0.0,0.0,40,053,2017
"Greer County, Oklahoma",2096.0,97.0,2152,1499,35898.0,2288.0,151.0,6018,2137.0,44.0,13.0,4.0,56.0,38.0,16.0,0.0,0.0,40,055,2017
"Kingfisher County, Oklahoma",6997.0,413.0,5691,3677,62829.0,7435.0,389.0,15510,7046.0,197.0,111.0,82.0,253.0,78.0,123.0,0.0,0.0,40,073,2017
"McClain County, Oklahoma",17413.0,988.0,13838,10969,62081.0,18322.0,693.0,37919,17629.0,168.0,76.0,160.0,475.0,306.0,419.0,14.0,0.0,40,087,2017
"McIntosh County, Oklahoma",6962.0,343.0,8349,4695,38163.0,7706.0,653.0,19874,7053.0,40.0,58.0,129.0,81.0,136.0,74.0,0.0,0.0,40,091,2017
"Marshall County, Oklahoma",6264.0,140.0,6241,3556,45671.0,6701.0,354.0,16226,6347.0,8.0,6.0,50.0,109.0,67.0,145.0,0.0,0.0,40,095,2017
"Murray County, Oklahoma",5956.0,151.0,5275,3387,51844.0,6312.0,248.0,13797,6064.0,67.0,55.0,46.0,133.0,106.0,77.0,0.0,0.0,40,099,2017
"Noble County, Oklahoma",5129.0,214.0,4598,2987,52372.0,5433.0,264.0,11421,5169.0,12.0,27.0,67.0,184.0,84.0,87.0,0.0,0.0,40,103,2017
"Nowata County, Oklahoma",4219.0,163.0,4064,2387,41282.0,4697.0,447.0,10448,4250.0,16.0,15.0,15.0,114.0,63.0,49.0,0.0,4.0,40,105,2017
"Ottawa County, Oklahoma",12648.0,239.0,12020,7132,38472.0,13893.0,995.0,31725,12898.0,56.0,59.0,80.0,313.0,146.0,104.0,6.0,0.0,40,115,2017
"Rogers County, Oklahoma",42719.0,1470.0,34109,25742,61320.0,45449.0,2283.0,90098,43166.0,533.0,441.0,471.0,1164.0,911.0,871.0,19.0,17.0,40,131,2017
"Sequoyah County, Oklahoma",15407.0,334.0,15412,9765,37455.0,17096.0,1485.0,41364,15611.0,37.0,81.0,123.0,291.0,89.0,265.0,0.0,26.0,40,135,2017
"Wagoner County, Oklahoma",35197.0,1375.0,28309,23218,59210.0,38276.0,2437.0,76830,35839.0,458.0,247.0,501.0,1039.0,821.0,878.0,44.0,19.0,40,145,2017
"Alfalfa County, Oklahoma",2194.0,76.0,1978,1465,57432.0,2344.0,106.0,5877,2238.0,7.0,20.0,9.0,42.0,26.0,49.0,0.0,0.0,40,003,2017
"Woods County, Oklahoma",4599.0,223.0,3413,2503,57097.0,4861.0,223.0,9132,4638.0,82.0,78.0,33.0,111.0,77.0,35.0,0.0,0.0,40,151,2017
"Caddo County, Oklahoma",11080.0,239.0,10273,5848,41626.0,12126.0,919.0,29437,11207.0,110.0,40.0,66.0,280.0,70.0,83.0,2.0,0.0,40,015,2017
"Cleveland County, Oklahoma",136713.0,4278.0,103028,86959,60632.0,144702.0,6987.0,274024,137715.0,1557.0,871.0,2291.0,3569.0,4503.0,4138.0,116.0,98.0,40,027,2017
"Muskogee County, Oklahoma",26326.0,870.0,26097,16309,41329.0,28840.0,1979.0,69471,26861.0,214.0,186.0,172.0,501.0,263.0,286.0,0.0,0.0,40,101,2017
"Okfuskee County, Oklahoma",3810.0,96.0,3987,2304,38346.0,4222.0,347.0,12160,3875.0,2.0,5.0,6.0,45.0,66.0,49.0,0.0,3.0,40,107,2017
"Atoka County, Oklahoma",4610.0,249.0,5284,3391,37106.0,4994.0,330.0,13899,4664.0,16.0,11.0,49.0,127.0,71.0,62.0,0.0,0.0,40,005,2017
"Bryan County, Oklahoma",18351.0,661.0,16911,11116,41197.0,20069.0,1288.0,45068,18781.0,121.0,120.0,259.0,659.0,246.0,259.0,0.0,0.0,40,013,2017
"Union County, Oregon",10954.0,549.0,10291,7763,46228.0,12044.0,788.0,25810,11256.0,93.0,32.0,84.0,187.0,141.0,162.0,0.0,0.0,41,061,2017
"Marion County, Oregon",142995.0,6633.0,116077,93987,53828.0,157289.0,10657.0,330453,146632.0,946.0,685.0,1588.0,3086.0,2828.0,2982.0,72.0,23.0,41,047,2017
"Jackson County, Oregon",90161.0,7099.0,86195,69986,48688.0,99934.0,7512.0,212070,92422.0,875.0,644.0,883.0,1620.0,2085.0,2185.0,11.0,44.0,41,029,2017
"Douglas County, Oregon",39708.0,2064.0,44828,33875,44023.0,44979.0,4008.0,107576,40971.0,396.0,160.0,326.0,572.0,512.0,799.0,0.0,0.0,41,019,2017
"Grant County, Oregon",2961.0,199.0,3176,2322,44826.0,3229.0,246.0,7209,2983.0,21.0,29.0,4.0,28.0,85.0,62.0,0.0,0.0,41,023,2017
"Jefferson County, Oregon",7809.0,467.0,7628,5766,48464.0,9168.0,1095.0,22707,8073.0,23.0,28.0,66.0,75.0,136.0,120.0,0.0,0.0,41,031,2017
"Polk County, Oregon",34152.0,2289.0,29128,24012,56032.0,37981.0,3156.0,79666,34825.0,181.0,213.0,382.0,825.0,588.0,775.0,29.0,22.0,41,053,2017
"Clackamas County, Oregon",193657.0,15031.0,153822,131343,72408.0,209742.0,11767.0,399962,197975.0,2367.0,1240.0,4052.0,5495.0,7927.0,6333.0,159.0,85.0,41,005,2017
"Deschutes County, Oregon",81947.0,8549.0,69631,57786,59152.0,88594.0,4873.0,175321,83721.0,1376.0,706.0,1168.0,1423.0,2874.0,3011.0,0.0,0.0,41,017,2017
"Linn County, Oregon",50113.0,2713.0,46265,36208,49515.0,56036.0,4957.0,121074,51079.0,326.0,177.0,248.0,831.0,784.0,886.0,0.0,0.0,41,043,2017
"Tillamook County, Oregon",9872.0,568.0,10454,7812,45061.0,10651.0,581.0,25840,10070.0,32.0,49.0,0.0,109.0,173.0,196.0,0.0,0.0,41,057,2017
"Yamhill County, Oregon",45285.0,2531.0,35952,29192,58392.0,49086.0,3244.0,102366,45842.0,198.0,286.0,386.0,1257.0,989.0,1212.0,0.0,0.0,41,071,2017
"Baker County, Oregon",6247.0,460.0,7033,4922,43765.0,6857.0,503.0,15980,6354.0,39.0,61.0,18.0,118.0,76.0,98.0,0.0,0.0,41,001,2017
"Josephine County, Oregon",29688.0,1672.0,35614,27227,40705.0,33295.0,2995.0,84514,30300.0,246.0,93.0,238.0,793.0,619.0,730.0,0.0,0.0,41,033,2017
"Klamath County, Oregon",25781.0,1544.0,27171,20175,42531.0,28627.0,2593.0,66018,26034.0,109.0,167.0,201.0,400.0,301.0,596.0,0.0,0.0,41,035,2017
"Umatilla County, Oregon",31251.0,932.0,26976,20279,50071.0,34980.0,2917.0,76736,32063.0,304.0,180.0,183.0,414.0,389.0,412.0,0.0,12.0,41,059,2017
"Lincoln County, Oregon",18471.0,1251.0,20674,15873,43291.0,20194.0,1303.0,47307,18891.0,164.0,145.0,95.0,193.0,415.0,465.0,0.0,0.0,41,041,2017
"Benton County, Oregon",40959.0,3084.0,34775,30359,54682.0,44709.0,3006.0,88249,41703.0,364.0,275.0,266.0,471.0,1850.0,1178.0,0.0,0.0,41,003,2017
"Columbia County, Oregon",20615.0,1024.0,19213,15634,57449.0,23101.0,1739.0,50207,21362.0,179.0,46.0,257.0,615.0,491.0,519.0,9.0,24.0,41,009,2017
"Crook County, Oregon",8364.0,542.0,9330,7251,41777.0,9630.0,802.0,21717,8828.0,54.0,105.0,20.0,92.0,159.0,296.0,0.0,0.0,41,013,2017
"Sherman County, Oregon",716.0,77.0,779,591,42074.0,792.0,39.0,1635,753.0,2.0,3.0,6.0,5.0,5.0,13.0,0.0,0.0,41,055,2017
"Wasco County, Oregon",10937.0,868.0,10135,7398,48510.0,12037.0,783.0,25687,11254.0,111.0,132.0,147.0,113.0,260.0,179.0,0.0,0.0,41,065,2017
"Harney County, Oregon",2821.0,262.0,3079,2182,39504.0,3314.0,433.0,7195,2881.0,3.0,17.0,2.0,10.0,32.0,17.0,0.0,0.0,41,025,2017
"Lane County, Oregon",163115.0,9627.0,148752,120124,47710.0,180903.0,13820.0,363471,167083.0,1865.0,1225.0,2054.0,3489.0,4678.0,4658.0,56.0,13.0,41,039,2017
"Malheur County, Oregon",10612.0,591.0,10262,6964,37112.0,11842.0,1018.0,30421,10824.0,44.0,95.0,49.0,173.0,116.0,173.0,0.0,0.0,41,045,2017
"Wallowa County, Oregon",2967.0,259.0,3126,2261,44877.0,3192.0,158.0,6864,3034.0,12.0,6.0,31.0,84.0,72.0,69.0,0.0,0.0,41,063,2017
"Washington County, Oregon",287379.0,17309.0,212778,186928,74033.0,310217.0,17238.0,572071,292979.0,4138.0,2589.0,6647.0,8609.0,14796.0,9922.0,457.0,301.0,41,067,2017
"Wheeler County, Oregon",483.0,40.0,677,476,33563.0,543.0,45.0,1415,498.0,1.0,3.0,0.0,5.0,4.0,10.0,0.0,0.0,41,069,2017
"Morrow County, Oregon",4687.0,279.0,3936,2863,54386.0,5036.0,241.0,11153,4795.0,15.0,20.0,0.0,108.0,31.0,46.0,0.0,0.0,41,049,2017
"Clatsop County, Oregon",17130.0,887.0,15976,12750,49828.0,18311.0,1190.0,38021,17121.0,261.0,72.0,240.0,229.0,382.0,297.0,0.0,0.0,41,007,2017
"Coos County, Oregon",23810.0,1511.0,26473,18518,40848.0,26701.0,2447.0,62921,24254.0,253.0,142.0,91.0,410.0,552.0,425.0,0.0,0.0,41,011,2017
"Robertson County, Kentucky",867.0,13.0,938,382,30694.0,936.0,55.0,2161,881.0,4.0,4.0,0.0,20.0,20.0,0.0,0.0,0.0,21,201,2017
"Russell County, Kentucky",6159.0,140.0,7204,4336,34660.0,6936.0,654.0,17731,6282.0,4.0,78.0,44.0,142.0,70.0,65.0,0.0,0.0,21,207,2017
"Spencer County, Kentucky",8929.0,215.0,6678,5583,68916.0,9610.0,540.0,18012,9070.0,9.0,48.0,81.0,347.0,93.0,122.0,0.0,0.0,21,215,2017
"Washington County, Kentucky",5483.0,219.0,4507,2844,47843.0,5972.0,343.0,11999,5629.0,9.0,0.0,93.0,71.0,48.0,45.0,0.0,0.0,21,229,2017
"Bath County, Kentucky",4327.0,149.0,4509,2988,38763.0,4839.0,377.0,12189,4462.0,29.0,25.0,3.0,77.0,32.0,63.0,0.0,0.0,21,011,2017
"Ballard County, Kentucky",3344.0,119.0,3225,2259,42988.0,3561.0,167.0,8152,3394.0,0.0,33.0,35.0,94.0,88.0,60.0,0.0,0.0,21,007,2017
"Barren County, Kentucky",17887.0,917.0,16927,12382,39658.0,19884.0,1507.0,43418,18377.0,76.0,82.0,115.0,315.0,177.0,237.0,0.0,0.0,21,009,2017
"Boyle County, Kentucky",12067.0,497.0,10875,7864,43076.0,13020.0,634.0,29773,12386.0,146.0,145.0,48.0,227.0,264.0,132.0,0.0,0.0,21,021,2017
"Green County, Kentucky",4574.0,171.0,4467,2756,37388.0,4875.0,249.0,11044,4626.0,37.0,4.0,42.0,94.0,10.0,8.0,11.0,0.0,21,087,2017
"Hancock County, Kentucky",3539.0,82.0,3375,2490,49135.0,3852.0,238.0,8700,3614.0,17.0,31.0,0.0,96.0,22.0,51.0,0.0,0.0,21,091,2017
"Harlan County, Kentucky",7377.0,135.0,11249,6517,24451.0,8460.0,905.0,27548,7555.0,33.0,13.0,52.0,174.0,112.0,43.0,0.0,0.0,21,095,2017
"Martin County, Kentucky",2799.0,8.0,4316,2784,29239.0,3584.0,552.0,12175,3032.0,14.0,16.0,66.0,81.0,0.0,12.0,0.0,0.0,21,159,2017
"Hardin County, Kentucky",50463.0,1399.0,41051,31758,51923.0,50887.0,3251.0,107699,47636.0,687.0,515.0,417.0,968.0,1220.0,973.0,0.0,0.0,21,093,2017
"Lincoln County, Kentucky",9307.0,579.0,9786,6073,37930.0,10454.0,907.0,24413,9547.0,115.0,111.0,65.0,172.0,94.0,126.0,8.0,0.0,21,137,2017
"McLean County, Kentucky",3769.0,93.0,3826,2582,44242.0,4133.0,295.0,9361,3838.0,13.0,0.0,9.0,146.0,18.0,39.0,0.0,0.0,21,149,2017
"Monroe County, Kentucky",4184.0,243.0,4376,2650,35665.0,4624.0,354.0,10645,4270.0,35.0,12.0,18.0,79.0,20.0,12.0,0.0,0.0,21,171,2017
"Ohio County, Kentucky",9207.0,115.0,9055,5903,41470.0,10363.0,1039.0,24062,9324.0,8.0,16.0,19.0,96.0,90.0,113.0,0.0,0.0,21,183,2017
"Powell County, Kentucky",4407.0,44.0,4878,2747,34647.0,4877.0,262.0,12349,4615.0,20.0,13.0,63.0,100.0,129.0,26.0,0.0,0.0,21,197,2017
"Union County, Kentucky",6404.0,34.0,5527,3821,42139.0,7046.0,513.0,14915,6533.0,2.0,40.0,33.0,42.0,72.0,66.0,0.0,0.0,21,225,2017
"Webster County, Kentucky",4952.0,79.0,5095,3011,39273.0,5430.0,332.0,13180,5098.0,4.0,30.0,19.0,55.0,47.0,34.0,0.0,0.0,21,233,2017
"Caldwell County, Kentucky",5210.0,60.0,5309,3431,46182.0,5723.0,393.0,12747,5330.0,0.0,24.0,41.0,223.0,34.0,45.0,0.0,0.0,21,033,2017
"Calloway County, Kentucky",16941.0,600.0,14757,10870,39269.0,18438.0,1056.0,38616,17382.0,57.0,138.0,201.0,237.0,312.0,332.0,0.0,0.0,21,035,2017
"Casey County, Kentucky",5650.0,283.0,6398,4014,33031.0,6235.0,466.0,15805,5769.0,60.0,18.0,3.0,75.0,67.0,83.0,0.0,0.0,21,045,2017
"Christian County, Kentucky",31132.0,589.0,25275,17153,41849.0,26227.0,2109.0,72438,24118.0,243.0,185.0,179.0,369.0,287.0,352.0,0.0,7.0,21,047,2017
"Daviess County, Kentucky",43831.0,672.0,39531,29783,48371.0,47591.0,2855.0,99258,44736.0,224.0,284.0,610.0,1789.0,572.0,661.0,0.0,0.0,21,059,2017
"Grayson County, Kentucky",10366.0,257.0,9594,6013,35944.0,11212.0,721.0,26129,10491.0,50.0,14.0,27.0,206.0,120.0,67.0,0.0,7.0,21,085,2017
"Henderson County, Kentucky",20543.0,498.0,18719,13310,43458.0,21991.0,1049.0,46252,20942.0,128.0,131.0,193.0,378.0,373.0,364.0,0.0,0.0,21,101,2017
"Henry County, Kentucky",7042.0,248.0,6104,3974,50787.0,7641.0,498.0,15677,7143.0,18.0,15.0,39.0,269.0,74.0,52.0,0.0,0.0,21,103,2017
"Hopkins County, Kentucky",18686.0,303.0,18546,12554,44048.0,20116.0,1196.0,45985,18920.0,119.0,22.0,138.0,449.0,191.0,246.0,0.0,41.0,21,107,2017
"Jackson County, Kentucky",4199.0,80.0,5435,3153,32055.0,4616.0,398.0,13369,4218.0,145.0,31.0,18.0,43.0,44.0,32.0,0.0,0.0,21,109,2017
"Laurel County, Kentucky",21975.0,614.0,22976,16081,37235.0,25023.0,2473.0,59901,22550.0,177.0,240.0,206.0,528.0,252.0,431.0,6.0,14.0,21,125,2017
"Marshall County, Kentucky",12913.0,334.0,13117,10092,49126.0,13973.0,884.0,31177,13089.0,170.0,75.0,89.0,275.0,185.0,232.0,55.0,0.0,21,157,2017
"Meade County, Kentucky",12271.0,360.0,10785,8645,53732.0,12882.0,1055.0,28452,11827.0,84.0,99.0,41.0,262.0,155.0,162.0,0.0,0.0,21,163,2017
"Montgomery County, Kentucky",11212.0,247.0,10404,7011,42172.0,12354.0,970.0,27550,11384.0,34.0,73.0,127.0,155.0,187.0,186.0,0.0,0.0,21,173,2017
"Nicholas County, Kentucky",2760.0,105.0,2760,1619,38900.0,3075.0,208.0,7061,2867.0,6.0,4.0,5.0,111.0,79.0,45.0,0.0,0.0,21,181,2017
"Oldham County, Kentucky",30044.0,1871.0,20465,18157,92237.0,31824.0,1118.0,64633,30706.0,355.0,202.0,1030.0,1241.0,1253.0,889.0,22.0,2.0,21,185,2017
"Owen County, Kentucky",3870.0,262.0,3944,2201,44031.0,4199.0,224.0,10686,3975.0,13.0,28.0,49.0,95.0,40.0,98.0,0.0,0.0,21,187,2017
"Rockcastle County, Kentucky",6206.0,108.0,6552,4153,35888.0,6957.0,674.0,16815,6283.0,122.0,176.0,37.0,89.0,185.0,133.0,0.0,8.0,21,203,2017
"Scott County, Kentucky",26444.0,984.0,19706,15985,65598.0,28158.0,1360.0,52322,26798.0,189.0,136.0,142.0,545.0,755.0,757.0,11.0,7.0,21,209,2017
"Warren County, Kentucky",57707.0,1680.0,46443,36659,49508.0,63738.0,3555.0,123824,60183.0,468.0,553.0,654.0,772.0,1057.0,1218.0,38.0,87.0,21,227,2017
"Allen County, Kentucky",8258.0,567.0,7705,4752,40598.0,9127.0,684.0,20628,8443.0,29.0,13.0,24.0,108.0,40.0,107.0,9.0,16.0,21,003,2017
"Bourbon County, Kentucky",9239.0,556.0,8116,5244,47886.0,10053.0,696.0,20017,9357.0,24.0,17.0,29.0,292.0,158.0,122.0,0.0,0.0,21,017,2017
"Boyd County, Kentucky",17928.0,269.0,19119,14421,45543.0,20103.0,1868.0,48486,18235.0,311.0,219.0,185.0,209.0,235.0,338.0,0.0,0.0,21,019,2017
"Bullitt County, Kentucky",37717.0,1114.0,29014,23039,59917.0,40791.0,2400.0,78622,38391.0,628.0,423.0,437.0,1353.0,521.0,720.0,28.0,68.0,21,029,2017
"Crittenden County, Kentucky",3595.0,141.0,3711,2236,41114.0,3859.0,169.0,9154,3690.0,14.0,4.0,91.0,94.0,30.0,78.0,0.0,0.0,21,055,2017
"Fayette County, Kentucky",159253.0,6940.0,127336,104054,53013.0,172792.0,10512.0,315109,162280.0,1844.0,940.0,2390.0,2898.0,6940.0,4567.0,62.0,53.0,21,067,2017
"Fulton County, Kentucky",2231.0,146.0,2463,1435,28274.0,2475.0,188.0,6259,2287.0,44.0,10.0,38.0,40.0,24.0,49.0,0.0,0.0,21,075,2017
"Johnson County, Kentucky",6735.0,126.0,8771,6115,35629.0,7588.0,696.0,23064,6892.0,47.0,83.0,49.0,114.0,119.0,106.0,0.0,0.0,21,115,2017
"Knott County, Kentucky",4594.0,94.0,6158,3767,30503.0,5450.0,743.0,15690,4707.0,58.0,18.0,29.0,57.0,15.0,18.0,0.0,0.0,21,119,2017
"Menifee County, Kentucky",2462.0,61.0,2537,1615,39688.0,2673.0,144.0,6381,2529.0,9.0,5.0,0.0,47.0,13.0,28.0,0.0,0.0,21,165,2017
"Morgan County, Kentucky",3488.0,77.0,4937,3284,33523.0,3984.0,322.0,13281,3662.0,125.0,11.0,36.0,40.0,5.0,54.0,0.0,0.0,21,175,2017
"Muhlenberg County, Kentucky",11155.0,112.0,11416,7354,40037.0,12714.0,1221.0,31153,11493.0,37.0,32.0,18.0,235.0,106.0,116.0,0.0,0.0,21,177,2017
"Pendleton County, Kentucky",6289.0,180.0,5236,3342,49706.0,6738.0,323.0,14530,6415.0,66.0,23.0,100.0,163.0,61.0,154.0,0.0,0.0,21,191,2017
"Perry County, Kentucky",8530.0,209.0,11037,7666,31820.0,10150.0,1331.0,27329,8819.0,78.0,34.0,87.0,235.0,85.0,119.0,0.0,0.0,21,193,2017
"Pulaski County, Kentucky",24298.0,392.0,25810,16763,35022.0,27262.0,2334.0,63974,24928.0,178.0,189.0,244.0,546.0,456.0,458.0,0.0,0.0,21,199,2017
"Wolfe County, Kentucky",1867.0,66.0,2853,1574,21999.0,2118.0,223.0,7251,1895.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21,237,2017
"Clay County, Kentucky",5605.0,131.0,7719,5245,24596.0,6339.0,577.0,20866,5762.0,130.0,88.0,22.0,43.0,42.0,127.0,0.0,0.0,21,051,2017
"Adair County, Kentucky",7837.0,265.0,7101,4518,36575.0,8515.0,527.0,19304,7988.0,31.0,58.0,68.0,80.0,83.0,46.0,0.0,0.0,21,001,2017
"Bell County, Kentucky",7448.0,217.0,11063,6312,23558.0,8306.0,747.0,27469,7559.0,42.0,48.0,40.0,59.0,110.0,144.0,0.0,0.0,21,013,2017
"Breathitt County, Kentucky",3824.0,38.0,5342,3025,25861.0,4556.0,544.0,13276,4012.0,24.0,11.0,11.0,55.0,51.0,57.0,0.0,0.0,21,025,2017
"Cumberland County, Kentucky",2377.0,182.0,2709,1635,35449.0,2531.0,130.0,6744,2401.0,0.0,10.0,5.0,50.0,40.0,42.0,0.0,0.0,21,057,2017
"Graves County, Kentucky",15359.0,457.0,14299,9560,40369.0,16972.0,1311.0,37259,15661.0,98.0,87.0,94.0,414.0,240.0,158.0,0.0,0.0,21,083,2017
"Hart County, Kentucky",6890.0,245.0,7346,4725,37315.0,7626.0,501.0,18531,7125.0,59.0,36.0,54.0,174.0,47.0,27.0,0.0,0.0,21,099,2017
"Lee County, Kentucky",1685.0,8.0,2843,1426,23297.0,1910.0,197.0,6717,1713.0,7.0,49.0,0.0,76.0,10.0,6.0,0.0,0.0,21,129,2017
"Butler County, Kentucky",5101.0,223.0,5060,3155,39362.0,5471.0,294.0,12735,5177.0,52.0,7.0,27.0,124.0,44.0,55.0,0.0,13.0,21,031,2017
"Trimble County, Kentucky",3773.0,184.0,3603,2359,50998.0,4307.0,451.0,8697,3856.0,30.0,42.0,35.0,116.0,47.0,103.0,0.0,0.0,21,223,2017
"Edmonson County, Kentucky",4548.0,74.0,4880,3509,41114.0,5114.0,474.0,12063,4640.0,38.0,56.0,12.0,154.0,84.0,25.0,0.0,0.0,21,061,2017
"Harrison County, Kentucky",7769.0,215.0,7107,4224,44620.0,8434.0,584.0,18630,7850.0,15.0,29.0,69.0,54.0,85.0,122.0,0.0,0.0,21,097,2017
"Hickman County, Kentucky",1629.0,112.0,1877,1023,38036.0,1783.0,152.0,4625,1631.0,0.0,3.0,0.0,25.0,1.0,20.0,0.0,0.0,21,105,2017
"Bracken County, Kentucky",3448.0,139.0,3427,2153,40458.0,3784.0,286.0,8330,3498.0,9.0,46.0,75.0,140.0,32.0,18.0,0.0,0.0,21,023,2017
"Lyon County, Kentucky",2768.0,34.0,3376,2213,50268.0,2929.0,100.0,8268,2829.0,28.0,11.0,9.0,12.0,29.0,35.0,0.0,0.0,21,143,2017
