year,url,access_utc,rows
2017,https://api.census.gov/data/2017/acs/acs5,2026-03-04T02:05:41.626392+00:00,3142
2018,https://api.census.gov/data/2018/acs/acs5,2026-03-04T02:05:42.729436+00:00,3142
2019,https://api.census.gov/data/2019/acs/acs5,2026-03-04T02:05:43.766384+00:00,3142
2020,https://api.census.gov/data/2020/acs/acs5,2026-03-04T02:05:44.810688+00:00,3143
2021,https://api.census.gov/data/2021/acs/acs5,2026-03-04T02:05:45.902737+00:00,3143
2022,https://api.census.gov/data/2022/acs/acs5,2026-03-04T02:05:46.927847+00:00,3144
2023,https://api.census.gov/data/2023/acs/acs5,2026-03-04T02:05:48.068283+00:00,3144
