variable,missing_share
remote_work_share,4.545454545454545e-05
digital_emp_share,4.545454545454545e-05
median_hh_income,4.545454545454545e-05
unemployment_rate,4.545454545454545e-05
broadband_sub_share,0.0
population,0.0
