,count,mean,std,min,10%,25%,50%,75%,90%,max
remote_work_share,21999.0,0.06375075962418368,0.04028764118998405,0.0,0.02456309194673752,0.0366572996339945,0.054588170259812,0.080205748608734,0.11357007076746295,0.394919168591224
broadband_sub_share,22000.0,0.7769993438641922,0.0963677541653967,0.2449290060851927,0.6467223487011995,0.7212095849590383,0.7907729324224566,0.8472031150271754,0.888931055742757,1.0
digital_emp_share,21999.0,0.08591459246204838,0.040774378824549005,0.0,0.04738147063464556,0.06120143104668835,0.0777224824355971,0.10017615132854085,0.13412916486337614,0.5678579258934444
median_hh_income,21999.0,-94754.28433110596,10050561.662693204,-666666666.0,39316.8,46052.0,54335.0,64334.5,76873.4,178707.0
unemployment_rate,21999.0,0.05364708843085018,0.027244617809476,0.0,0.02482370583569974,0.03648907084668485,0.05,0.0656832047295985,0.08554022850650572,0.3241666666666666
population,22000.0,104017.507,331826.51330238965,43.0,5000.0,10869.75,25761.0,68021.0,213438.40000000014,10105722.0
