year,counties,mean_treatment,ever_treated_share
2017,3142,0.6992072722507464,0.9704010184595799
2018,3141,0.7269676313494359,0.9703915950334289
2019,3142,0.7539901311621667,0.9704010184595799
2020,3142,0.785495937946683,0.9704010184595799
2021,3142,0.8053563039655564,0.9704010184595799
2022,3143,0.8244410976197463,0.9704104358892778
2023,3142,0.8435749755007007,0.9707192870782941
