year,county_count,avg_remote_work,avg_broadband
2017,3142,0.04803161509505294,0.6992072722507464
2018,3142,0.04974126308751663,0.726901966441843
2019,3142,0.05115187090186998,0.7539901311621667
2020,3143,0.060127010503146235,0.7854470003802024
2021,3143,0.07013945018643082,0.8054085918006603
2022,3144,0.07914411829429789,0.8244571786955669
2023,3144,0.08788948687900222,0.8434989977370455
