event_time,coef,se,p_value,ci_low,ci_high
-3,0.0020601135828022207,0.0007740425749331742,0.0077793558964183935,0.0005429901359331993,0.003577237029671242
-2,0.0001993409307853135,0.0007138508603243693,0.7800550407594177,-0.0011998067554504503,0.0015984886170210774
0,-0.005113949884113253,0.0009105447247415053,1.950185149360312e-08,-0.006898617544606603,-0.0033292822236199024
1,-0.006958778960687025,0.0008838309756903547,3.450555381452664e-15,-0.00869108767304012,-0.00522647024833393
2,-0.008688835211470338,0.0009065844112088988,9.32278096212277e-22,-0.01046574065743978,-0.006911929765500897
3,-0.007301268926872439,0.0007735910963182221,3.7941835900503375e-21,-0.008817507475656154,-0.0057850303780887236
